,Bus_Name,Bus_type,from,to,pickup_time,drop_time,duration,prices,ratings,AC_type,Seater,semi_sleeper,sleeper
333,Tranzindia Travels ,Non A/C Seater / Sleeper (2+1),HYD,BLR,19:15,06:30,11,950,2.3,NON A/C,yes,no,yes
334,SRS Travels ,NON AC Seater / Sleeper 2+1,HYD,BLR,21:30,05:45,08,650,2.3,A/C,yes,no,yes
335,Morning Star Travels ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,22:30,07:25,08,1690,2.5,A/C,no,no,yes
336,Morning Star Travels ,A/C Sleeper (2+1),HYD,BLR,22:50,07:20,08,1290,2.2,A/C,no,no,yes
337,Orange Tours And Travels ,Volvo Multi-Axle Sleeper A/C (2+1),HYD,BLR,23:15,08:20,09,1300,2.2,A/C,no,no,yes
338,Lemon Travels ,NON A/C Semi Sleeper / Sleeper (2+1),HYD,BLR,22:10,10:00,11,640,3.5,NON A/C,no,yes,no
339,Dream Line Travels Pvt Ltd ,VE A/C Sleeper (2+1),HYD,BLR,23:50,09:20,09,2500,4.5,A/C,no,no,yes
340,Orange Tours And Travels ,A/C Seater / Sleeper (2+1),HYD,BLR,22:35,08:35,10,900,2.1,A/C,yes,no,yes
341,Indian express ,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),HYD,BLR,23:10,09:00,09,1000,4.5,A/C,no,no,yes
342,DHANUNJAYA TRAVELS ,A/C Semi Sleeper / Sleeper (2+1),HYD,BLR,20:45,07:45,11,599,2.6,A/C,no,yes,no
343,Morning Star Travels ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,22:15,08:30,10,1690,2.4,A/C,no,no,yes
344,Morning Star Travels ,A/C Sleeper (2+1),HYD,BLR,18:55,05:20,10,1190,1.9,A/C,no,no,yes
345,Swamy Ayyappa Travels ,A/C Sleeper (2+1),HYD,BLR,15:20,01:20,10,1550,2.9,A/C,no,no,yes
346,Sri Krishna Travels ,Volvo Multi-Axle A/C Sleeper (2+1) ,HYD,BLR,22:00,08:25,10,2290,3.2,A/C,no,no,yes
347,Northern Travels ,Bharat Benz A/C Seater /Sleeper (2+1),HYD,BLR,11:30,20:40,09,875,2.3,A/C,yes,no,yes
348,Bmcc Travels ,A/C Sleeper (2+1),HYD,BLR,23:45,09:00,09,1550,3.3,A/C,no,no,yes
349,Northern Travels ,A/C Sleeper (2+1),HYD,BLR,11:30,20:10,08,875,2.3,A/C,no,no,yes
350,DHANUNJAYA TRAVELS ,A/C Seater / Sleeper (2+1),HYD,BLR,22:00,08:30,10,599,2.9,A/C,yes,no,yes
351,Morning Star Travels ,A/C Sleeper (2+1),HYD,BLR,21:35,07:20,09,1590,2.2,A/C,no,no,yes
