,Bus_Name,Bus_type,from,to,pickup_time,drop_time,duration,prices,ratings,AC_type,Seater,semi_sleeper,sleeper
407,IntrCity SmartBus ,AC Sleeper (2+1),BLR,CHN,22:30,05:50,7,691,4.4,A/C,no,no,yes
408,KGN INDIA ,NON A/C Seater (1+1+1),BLR,CHN,23:05,05:50,6,1000,4.3,NON A/C,yes,no,no
409,GEE PEE TRAVELS ,VE A/C Sleeper (2+1),BLR,CHN,23:35,06:15,6,590,4.3,A/C,no,no,yes
410,IntrCity SmartBus ,A/C Seater / Sleeper (2+1),BLR,CHN,21:45,06:30,8,586,4.3,A/C,yes,no,yes
411,Sri Sugam Bus Tours and Travels ,A/C Sleeper (2+1),BLR,CHN,23:45,07:00,7,749,4.4,A/C,no,no,yes
412,Green Line Travels And Holidays Premium Business Class ,VE Executive A/C Sleeper (1+1),BLR,CHN,23:00,05:00,6,1400,4.6,A/C,no,no,yes
413,Yolo Bus ,A/c sleeper (2+1),BLR,CHN,23:40,06:34,6,699,4.3,A/C,no,no,no
414,RKK Travels ,Volvo Multi-Axle A/C Semi Sleeper (2+2),BLR,CHN,15:00,21:15,6,595,4.3,A/C,no,yes,no
415,IntrCity SmartBus ,AC Sleeper (2+1),BLR,CHN,22:15,05:45,7,665,4.3,A/C,no,no,yes
416,RKK Travels ,Volvo Multi-Axle A/C Semi Sleeper (2+2),BLR,CHN,16:00,22:45,6,595,4.3,A/C,no,yes,no
417,YBM Travels(BLM) ,A/C Sleeper (2+1),BLR,CHN,07:00,13:35,6,800,4.3,A/C,no,no,yes
418,RKK Travels ,Volvo Multi-Axle A/C Semi Sleeper (2+2),BLR,CHN,04:00,09:30,5,695,4.3,A/C,no,yes,no
419,IntrCity SmartBus ,AC Sleeper (2+1),BLR,CHN,21:15,04:40,7,746,4.3,A/C,no,no,yes
420,KMRL Kalaimakal ,A/C Seater / Sleeper (2+1),BLR,CHN,08:00,14:45,6,600,4.3,A/C,yes,no,yes
